X,Y,Z,Buffer,hip_time,GFlops,num_iter,bandwidth,max error
2048,2048,16,1024,9.91098,744.828,1000,807.186,1.95821e-09
2048,1024,32,1024,7.17734,981.761,1000,1114.62,7.08705e-10
2048,512,64,1024,5.43835,1233.99,1000,1471.03,2.68649e-10
2048,256,128,1024,4.80808,1325.97,1000,1663.87,1.26981e-10
2048,128,256,1024,4.33012,1394.83,1000,1847.52,5.55334e-11
1024,2048,32,1024,7.58311,929.227,1000,1054.98,9.78991e-10
1024,1024,64,1024,5.65467,1186.79,1000,1414.76,3.54234e-10
1024,512,128,1024,4.62171,1379.43,1000,1730.96,1.34206e-10
1024,256,256,1024,4.39701,1373.62,1000,1819.42,6.35069e-11
1024,128,512,1024,4.2912,1329.29,1000,1864.28,2.76482e-11
512,2048,64,1024,7.00332,958.244,1000,1142.32,4.89455e-10
512,1024,128,1024,5.24412,1215.71,1000,1525.52,1.77075e-10
512,512,256,1024,4.51054,1339.04,1000,1773.62,6.70609e-11
512,256,512,1024,4.46948,1276.27,1000,1789.92,3.17359e-11
512,128,1024,1024,4.30364,1247.48,1000,1858.89,1.3782e-11
256,2048,128,1024,6.92255,920.952,1000,1155.64,2.44721e-10
256,1024,256,1024,5.46471,1105.24,1000,1463.94,8.85307e-11
256,512,512,1024,4.53338,1258.28,1000,1764.69,3.35237e-11
256,256,1024,1024,4.42524,1213.2,1000,1807.81,1.58664e-11
256,128,2048,1024,4.32826,1162.86,1000,1848.32,6.88426e-12
128,2048,256,1024,6.78718,889.883,1000,1178.69,1.22358e-10
128,1024,512,1024,5.31226,1073.79,1000,1505.95,4.42627e-11
128,512,1024,1024,4.42275,1213.88,1000,1808.83,1.67592e-11
128,256,2048,1024,4.42788,1136.7,1000,1806.73,7.93544e-12
128,128,4096,1024,4.30701,1090.69,1000,1857.44,3.43948e-12
120,120,4660,1023.93,4.53413,1022.2,1000,1764.27,4.10048e-12
240,100,2796,1023.93,4.49469,1086.19,1000,1779.75,6.91765e-12
240,200,1398,1023.93,4.86695,1072.04,1000,1643.62,1.45774e-11
245,245,1118,1023.99,5.19475,1025.29,1000,1540,1.93715e-07
360,360,517,1022.39,5.26823,1080.02,1000,1516.14,4.56723e-11
243,243,1136,1023.55,5.78848,918.366,1000,1381.45,2.9806e-11
729,243,378,1021.75,5.26372,1108.96,1000,1516.5,1.20547e-10
625,125,858,1022.82,4.66583,1167.52,1000,1712.61,2.38992e-11
343,343,570,1023.25,5.6482,999.935,1000,1415.35,2.98023e-07
