X,Y,Z,Buffer,hip_time,GFlops,num_iter,bandwidth,max error
2048,2048,1,1024,9.81455,752.146,1000,203.779,nan
2048,1024,1,1024,9.50985,740.961,1000,210.308,nan
2048,512,1,1024,9.38541,715.034,1000,213.097,nan
2048,256,1,1024,9.29944,685.562,1000,215.067,nan
2048,128,1,1024,9.18019,657.916,1000,217.86,nan
1024,2048,1,1024,9.76395,721.679,1000,204.835,nan
1024,1024,1,1024,9.35071,717.688,1000,213.888,nan
1024,512,1,1024,9.14537,697.111,1000,218.69,nan
1024,256,1,1024,9.05007,667.376,1000,220.993,nan
1024,128,1,1024,9.00116,633.724,1000,222.193,nan
512,2048,1,1024,9.48604,707.449,1000,210.836,nan
512,1024,1,1024,9.07343,702.639,1000,220.424,nan
512,512,1,1024,8.84797,682.62,1000,226.041,nan
512,256,1,1024,8.78667,649.194,1000,227.617,nan
512,128,1,1024,8.77938,611.513,1000,227.806,nan
256,2048,1,1024,5.50842,1157.38,1000,363.081,nan
256,1024,1,1024,4.76273,1268.14,1000,419.927,nan
256,512,1,1024,4.59171,1242.29,1000,435.568,nan
256,256,1,1024,4.57592,1173.25,1000,437.071,nan
256,128,1,1024,4.56744,1101.97,1000,437.882,nan
128,2048,1,1024,5.01834,1203.55,1000,398.538,nan
128,1024,1,1024,4.63138,1231.65,1000,431.837,nan
128,512,1,1024,4.42615,1212.95,1000,451.86,nan
128,256,1,1024,4.37477,1150.5,1000,457.167,nan
128,128,1,1024,4.3752,1073.69,1000,457.122,nan
120,120,1,1023.93,5.38227,861.123,1000,371.563,nan
240,100,1,1023.93,4.87122,1002.23,1000,410.545,nan
240,200,1,1023.93,5.09767,1023.52,1000,392.308,nan
245,245,1,1023.99,27.5128,193.587,1000,72.6924,nan
360,360,1,1022.39,6.0413,941.819,1000,330.533,nan
243,243,1,1023.55,8.86709,599.513,1000,225.455,nan
729,243,1,1021.75,8.94834,652.326,1000,223.015,nan
625,125,1,1022.82,7.01334,776.729,1000,284.841,nan
343,343,1,1023.25,6.76353,835.042,1000,295.488,nan
